From	To	Species	Gene Name
ATPC	5323798	Sinorhizobium medicae WSM419	F0F1 ATP synthase subunit epsilon(atpC)
ATPC	23273669	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	F0F1 ATP synthase subunit epsilon(atpC)
ATPC	4913757	Clostridioides difficile 630	V-type ATP synthase subunit C(atpC)
ATPC	7201470	Phaeodactylum tricornutum CCAP 1055/1	precursor of ATPase ATPase gamma subunit(AtpC)
ATPC	883726	Rickettsia prowazekii str. Madrid E	ATP synthase F0F1 subunit epsilon(atpC)
ATPC	24904539	Xenorhabdus nematophila ATCC 19061	F0F1 ATP synthase subunit epsilon(atpC)
ATPC	23263732	Leptospira mayottensis 200901116	ATP synthase F1, epsilon subunit(atpC)
ATPC	9441917	Amycolatopsis mediterranei U32	F-type H+-transporting ATPase subunit epsilon(atpC)
ATPC	934577	Streptococcus pneumoniae R6	ATP synthase F0F1 subunit epsilon(atpC)
ATPC	3796862	Shigella dysenteriae Sd197	ATP synthase F0F1 subunit epsilon(atpC)
ATPC	11794694	Pantoea ananatis LMG 5342	ATP synthase epsilon chain(atpC)
ATPC	1201466	Enterococcus faecalis V583	F0F1 ATP synthase subunit epsilon(atpC)
ATPC	23200690	Leptospira noguchii serovar Panama str. CZ214	F0F1 ATP synthase subunit epsilon(atpC)
ATPC	3192519	Francisella tularensis subsp. tularensis SCHU S4	ATP synthase F0F1 subunit epsilon(atpC)
ATPC	886967	Mycobacterium tuberculosis H37Rv	ATP synthase subunit epsilon(atpC)
ATPC	23446104	Vibrio tubiashii ATCC 19109	F0F1 ATP synthase subunit epsilon(atpC)
ATPC	8829648	Xenorhabdus bovienii SS-2004	F0F1 ATP synthase subunit epsilon(atpC)
ATPC	1234717	Sinorhizobium meliloti 1021	F0F1 ATP synthase subunit epsilon(atpC)
GLTV	948510	Escherichia coli str. K-12 substr. MG1655	tRNA(gltV)
GLTV	1255704	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	tRNA(gltV)
GLTV	914895	Escherichia coli O157:H7 str. Sakai	tRNA(gltV)
ATPI	24404166	Chikusichloa aquatica	ATP synthase CF0 subunit IV(atpI)
ATPI	27247603	Caryota mitis	ATP synthase CF0 subunit IV(atpI)
ATPI	15823413	Cymbidium sinense	subunit IV(atpI)
ATPI	20358512	Aegilops longissima	protein-coding(atpI)
ATPI	16693743	Aegilops speltoides	ATP synthase CF0 subunit IV(atpI)
ATPI	14971211	Chondrus crispus	ATP synthase CFO A chain subunit IV(atpI)
ATPI	11541046	Silene latifolia	ATP synthase CF0 subunit IV(atpI)
ATPI	15382694	Vigna angularis	ATP synthase CF0 subunit IV(atpI)
ATPI	26375004	Plantago maritima	ATP synthase CF0 subunit IV(atpI)
ATPI	23631773	Lithocarpus balansae	ATP synthase CF0 subunit IV(atpI)
ATPI	10744400	Olea europaea subsp. maroccana	ATP synthase CF0 A subunit(atpI)
ATPI	857042	Guillardia theta	ATPase IV subunit(atpI)
ATPI	4962329	Aethionema grandiflorum	ATP synthase CF0 A subunit(atpI)
ATPI	20523643	Elytrophorus spicatus	ATP synthase CF0 subunit IV(atpI)
ATPI	29070421	Asparagopsis taxiformis	ATP synthase CFO A chain subunit IV(atpI)
ATPI	18129671	Pelargonium alternans	ATP synthase CF0 subunit IV(atpI)
ATPI	27111443	Schefflera heptaphylla	ATP synthase CF0 A subunit(atpI)
ATPI	6166562	Cryptomeria japonica	ATP synthase CF0 A subunit(atpI)
ATPI	27985226	Cylindrocystis brebissonii	CF0 subunit IV of ATP synthase(atpI)
ATPI	26520371	Miscanthus sinensis	ATP synthase CF0 A subunit(atpI)
ATPI	17080891	Eucalyptus cloeziana	ATP synthase CF0 A subunit(atpI)
ATPI	29200459	Ostreobium quekettii	ATP synthase CF0 subunit IV(atpI)
ATPI	11747629	Pentactina rupicola	ATPase subunit IV(atpI)
ATPI	24120980	Abies koreana	ATP synthase CF0 A chain(atpI)
ATPI	29075256	Persea americana	ATP synthase CF0 subunit IV(atpI)
ATPI	19018804	Juniperus bermudiana	ATP synthase CF0 subunit IV(atpI)
ATPI	27440573	Urochloa humidicola	ATP synthase CF0 subunit IV(atpI)
ATPI	26888234	Cochlearia pyrenaica	ATP synthase CF0 A subunit(atpI)
ATPI	25076188	Amentotaxus argotaenia	ATP synthase CF0 subunit IV(atpI)
ATPI	26892547	Ligusticum tenuissimum	AtpI(atpI)
ATPI	23765131	Iochroma loxense	ATP synthase CF0 subunit IV(atpI)
ATPI	27213275	Monsonia marlothii	ATP synthase CF0 subunit IV(atpI)
ATPI	17083067	Eucalyptus microcorys	ATP synthase CF0 A subunit(atpI)
ATPI	26119329	Eutrema salsugineum	ATP synthase CF0 A subunit(atpI)
ATPI	25017926	Melica subulata	ATP synthase CF0 subunit IV(atpI)
ATPI	26038107	Epipremnum aureum	ATP synthase CF0 A subunit(atpI)
ATPI	26218949	Bletilla striata	AtpI(atpI)
ATPI	8774938	Vigna radiata	ATP synthase CF0 subunit IV(atpI)
ATPI	29082098	Ipomoea nil	ATP synthase CF0 subunit IV(atpI)
ATPI	22159974	Microthamnion kuetzingianum	CF0 subunit IV of ATP synthase(atpI)
ATPI	27214500	Phyllostegia velutina	ATP synthase CF0 subunit IV(atpI)
ATPI	27073447	Mychonastes homosphaera	ATP synthase CF0 A subunit(atpI)
ATPI	26379661	Tilia paucicostata	ATP synthase CF0 subunit IV(atpI)
ATPI	28481214	Aconitum carmichaelii	ATP synthase CF0 A chain(atpI)
ATPI	24248833	Greslania sp. McPherson 19217	ATP synthase CF0 A subunit(atpI)
ATPI	14657721	Taxus mairei	ATP synthase CF0 A chain(atpI)
ATPI	29077471	Pelargonium transvaalense	ATP synthase CF0 subunit IV(atpI)
ATPI	20159644	Fritillaria cirrhosa	ATP synthase CF0 subunit IV(atpI)
ATPI	22974708	Premna microphylla	ATP synthase CF0 subunit IV(atpI)
ATPI	20129354	Fargesia nitida	ATP synthase CF0 subunit IV(atpI)
ATPI	24146405	Solanum galapagense	ATP synthase CF0 subunit IV(atpI)
ATPI	24251008	Prunus padus	ATP synthase CF0 A subunit(atpI)
ATPI	26834378	Guadua chacoensis	ATP synthase CF0 subunit IV(atpI)
ATPI	26895009	Euptelea pleiosperma	ATP synthase CF0 A subunit(atpI)
ATPI	19739353	Parinari campestris	ATP synthase CF0 A subunit(atpI)
ATPI	25018710	Poa palustris	ATP synthase CF0 subunit IV(atpI)
ATPI	27218820	Distichlis spicata	ATP synthase CF0 subunit IV(atpI)
ATPI	19737458	Cypripedium macranthos	ATP synthase CF0 A subunit(atpI)
ATPI	17098371	Camellia impressinervis	protein-coding(atpI)
ATPI	27249459	Hanguana malayana	ATP synthase CF0 subunit IV(atpI)
ATPI	5729601	Cuscuta exaltata	ATP synthase CF0 A subunit(atpI)
ATPI	26047665	Machilus balansae	ATP synthase CF0 subunit IV(atpI)
ATPI	18127030	Gossypium longicalyx	ATP synthase CF0 subunit IV(atpI)
ATPI	9829783	Geranium palmatum	ATP synthase CF0 subunit IV(atpI)
ATPI	26522328	Leucaena trichandra	ATP synthase CF0 A subunit(atpI)
ATPI	26896900	Cynanchum wilfordii	AtpI(atpI)
ATPI	26381619	Otatea glauca	ATP synthase CF0 subunit IV(atpI)
ATPI	29123769	Chasechloa egregia	ATPase a subunit IV(atpI)
ATPI	16792194	Camellia taliensis	ATP synthase CF0 A subunit IV(atpI)
ATPI	24417829	Lathyrus clymenum	ATP synthase CF0 subunit IV(atpI)
ATPI	11030050	Spirodela polyrhiza	ATP synthase CF0 subunit IV(atpI)
ATPI	986740	Listeria monocytogenes EGD-e	ATP synthase subunit I(atpI)
ATPI	4962427	Olimarabidopsis pumila	ATP synthase CF0 A subunit(atpI)
ATPI	19591472	Neyraudia reynaudiana	ATP synthase CF0 subunit IV(atpI)
ATPI	27211022	Stenogyne haliakalae	(atpI)
ATPI	17962254	Helianthus decapetalus	ATP synthase CF0 subunit IV(atpI)
ATPI	22164328	Corallorhiza mertensiana	ATP synthase CF0 subunit IV(atpI)
ATPI	4271285	Platanus occidentalis	ATP synthase CF0 A subunit(atpI)
ATPI	28479264	Cakile arabica	ATP synthase CF0 subunit IV(atpI)
ATPI	20834069	Cerataulina daemon	ATP synthase CF0 subunit IV(atpI)
ATPI	25016033	Oryza longistaminata	ATP synthase CF0 A subunit(atpI)
ATPI	27216394	Pyropia pulchra	ATP synthase CF0 A subunit(atpI)
ATPI	27213163	Astragalus mongholicus	ATP synthase CF0 A subunit(atpI)
ATPI	6481240	Paulinella chromatophora	ATP synthase subunit A(atpI)
ATPI	25396856	Sinopodophyllum hexandrum	ATP synthase CF0 subunit IV(atpI)
ATPI	26043750	Colpothrinax cookii	ATP synthase CF0 subunit IV(atpI)
ATPI	3950464	Solanum lycopersicum	ATP synthase CF0 subunit IV(atpI)
ATPI	9480951	Chromera velia	ATP synthase CF0 A chain(atpI)
ATPI	20356665	Orobanche crenata	ATP synthase CF0 subunit IV(atpI)
ATPI	25194254	Capsella rubella	ATP synthase CF0 A subunit(atpI)
ATPI	25768145	Bupleurum falcatum	AtpI(atpI)
ATPI	26836374	Aquilaria sinensis	ATP synthase CF0 A subunit(atpI)
ATPI	16693617	Aegilops tauschii	ATP synthase CF0 subunit IV(atpI)
ATPI	29077270	Pelargonium trifidum	ATP synthase CF0 subunit IV(atpI)
ATPI	27247469	Mauritia flexuosa	ATP synthase CF0 subunit IV(atpI)
ATPI	3989295	Glycine max	ATPase IV subunit(atpI)
ATPI	27911713	Bangia atropurpurea	atpI(atpI)
ATPI	14469249	Equisetum hyemale	ATP synthase subunit a(atpI)
ATPI	29075384	Phoebe omeiensis	ATP synthase CF0 subunit IV(atpI)
ATPI	19018934	Juniperus monosperma	ATP synthase CF0 subunit IV(atpI)
ATPI	29072500	Sebdenia flabellata	ATP synthase CFO A chain subunit IV(atpI)
ATPI	26888362	Cochlearia tridactylites	ATP synthase CF0 A subunit(atpI)
ATPI	27440442	Urochloa ruziziensis	ATP synthase CF0 subunit IV(atpI)
ATPI	3720949	Rhodobacter sphaeroides 2.4.1	FoF1 ATP synthase, subunit I(atpI)
ATPI	26381811	Brighamia insignis	ATP synthase CFO subunit IV(atpI)
ATPI	11258280	Larix decidua	ATP synthase CF0 A chain(atpI)
ATPI	26375148	Plantago media	ATP synthase CF0 subunit IV(atpI)
ATPI	26995183	Gracilariopsis lemaneiformis	ATP synthase CF0, subunit A(atpI)
ATPI	14675083	Trithuria inconspicua	AtpI(atpI)
ATPI	27109632	Sciadopitys verticillata	ATP synthase CF0 subunit IV(atpI)
ATPI	24287811	Dunalia solanacea	ATP synthase CF0 subunit IV(atpI)
ATPI	29077298	Pelargonium tetragonum	ATP synthase CF0 subunit IV(atpI)
ATPI	2896172	Nymphaea alba	ATPase IV subunit(atpI)
ATPI	24703122	Pinus taiwanensis	H+-ATPase a subunit(atpI)
ATPI	26218814	Pinus bungeana	ATP synthase CF0 A subunit(atpI)
ATPI	9385449	Durinskia baltica	ATP synthase CF0 A chain subunit IV(atpI)
ATPI	17082931	Eucalyptus salmonophloia	ATP synthase CF0 A subunit(atpI)
ATPI	26890522	Goodyera velutina	ATP synthase CF0 subunit IV(atpI)
ATPI	16205307	Prinsepia utilis	ATP synthase CF0 subunit IV(atpI)
ATPI	24571292	Cryptoglena skujai	ATPase subunit IV(atpI)
ATPI	4271231	Citrus sinensis	ATP synthase CF0 A subunit(atpI)
ATPI	26379530	Tilia oliveri	ATP synthase CF0 subunit IV(atpI)
ATPI	801734	Odontella sinensis	ATPase IV subunit(atpI)
ATPI	23629546	Vertebrata lanosa	ATP synthase subunit a(atpI)
ATPI	20129488	Fargesia spathacea	ATP synthase CF0 subunit IV(atpI)
ATPI	24248962	Hickelia madagascariensis	ATP synthase CF0 A subunit(atpI)
ATPI	25018056	Oryzopsis asperifolia	ATP synthase CF0 subunit IV(atpI)
ATPI	1176956	Yersinia pestis CO92	F0F1 ATP synthase subunit I(atpI)
ATPI	4099823	Tetradesmus obliquus	ATPase IV subunit(atpI)
ATPI	14657585	Chrysanthemum indicum	ATP synthase CF0 A chain(atpI)
ATPI	17081027	Eucalyptus patens	ATP synthase CF0 A subunit(atpI)
ATPI	14841266	Artemisia frigida	ATP synthase CF0 A chain(atpI)
ATPI	27218689	Distichlis bajaensis	ATP synthase CF0 subunit IV(atpI)
ATPI	24019530	Paphiopedilum armeniacum	ATP synthase CF0 subunit IV(atpI)
ATPI	24571388	Monomorphina parapyrum	ATPase subunit IV(atpI)
ATPI	25192391	Haloxylon ammodendron	ATP synthase CF0 subunit IV(atpI)
ATPI	19739221	Hirtella physophora	ATP synthase CF0 A subunit(atpI)
ATPI	27249593	Eugeissona tristis	ATP synthase CF0 subunit IV(atpI)
ATPI	27073343	Neochloris aquatica	ATP synthase CF0 A subunit(atpI)
ATPI	24144077	Lonicera japonica	ATP synthase CF0 A chain(atpI)
ATPI	24146277	Solanum chilense	ATP synthase CF0 subunit IV(atpI)
ATPI	25018841	Puccinellia nuttalliana	ATP synthase CF0 subunit IV(atpI)
ATPI	17962387	Helianthus hirsutus	ATP synthase CF0 subunit IV(atpI)
ATPI	27211156	Stenogyne bifida	ATP synthase CF0 subunit IV(atpI)
ATPI	4319740	Jasminum nudiflorum	ATP synthase CF0 A subunit(atpI)
ATPI	26897033	Cynanchum auriculatum	AtpI(atpI)
ATPI	11030176	Magnolia kwangsiensis	ATP synthase CF0 subunit IV(atpI)
ATPI	20834181	Thalassiosira weissflogii	ATP synthase CF0 subunit IV(atpI)
ATPI	25014234	Gentiana straminea	ATP synthase CF0 A chain(atpI)
ATPI	9073413	Lathyrus sativus	ATP synthase CFO A subunit(atpI)
ATPI	26047537	Machilus yunnanensis	ATP synthase CF0 subunit IV(atpI)
ATPI	24417960	Lathyrus odoratus	ATP synthase CF0 subunit IV(atpI)
ATPI	3772794	Lactuca sativa	ATPase IV subunit(atpI)
ATPI	18126896	Gossypium herbaceum	ATP synthase CF0 subunit IV(atpI)
ATPI	26894877	Epimedium sagittatum	ATP synthase CF0 A subunit(atpI)
ATPI	20005930	Phyllostachys sulphurea	ATP synthase CF0 subunit IV(atpI)
ATPI	25015908	Oryza glumipatula	ATP synthase CF0 A subunit(atpI)
ATPI	25020781	Encephalartos lehmannii	ATP synthase CF0 A chain(atpI)
ATPI	10965380	Bambusa emeiensis	ATP synthase CF0 subunit IV(atpI)
ATPI	22164453	Corallorhiza trifida	ATP synthase CF0 subunit IV(atpI)
ATPI	24573053	Scutellaria baicalensis	ATP synthase CF0 A chain(atpI)
ATPI	29141355	Oryza sativa	AtpI(atpI)
ATPI	10351895	Hevea brasiliensis	ATP synthase CF0 A subunit(atpI)
ATPI	28479396	Perilla setoyensis	AtpI(atpI)
ATPI	16792080	Nannochloropsis oceanica	ATP synthase CF0 subunit IV(atpI)
ATPI	27214367	Phyllostegia velutina	(atpI)
ATPI	26522190	Inga leiocalycina	ATP synthase CF0 A subunit(atpI)
ATPI	15331928	Pachycladon cheesemanii	ATP synthase CF0 A subunit(atpI)
ATPI	15823554	Cymbidium tortisepalum	subunit IV(atpI)
ATPI	23765059	Salix purpurea	ATP synthase CF0 subunit IV(atpI)
ATPI	22160088	Gloeotilopsis sterilis	CF0 subunit IV of ATP synthase(atpI)
ATPI	17728901	Phragmites australis	ATP synthase CF0 subunit IV(atpI)
ATPI	24288235	Lathyrus palustris	ATP synthase CF0 subunit IV(atpI)
ATPI	9481059	Chromerida sp. RM11	ATP synthase CF0 A chain(atpI)
ATPI	24418140	Lens culinaris	ATP synthase CF0 subunit IV(atpI)
ATPI	29077147	Pelargonium trifidum	ATP synthase CF0 subunit IV(atpI)
ATPI	18127300	Gossypium sturtianum	ATP synthase CF0 subunit IV(atpI)
ATPI	2546507	Amborella trichopoda	ATPase IV subunit(atpI)
ATPI	4290592	Morus indica	ATP synthase CF0 A subunit(atpI)
ATPI	22831966	Bowenia serrulata	ATP synthase CF0 A chain(atpI)
ATPI	4962583	Arabis hirsuta	ATP synthase CF0 A subunit(atpI)
ATPI	4271568	Nandina domestica	ATP synthase CF0 A subunit(atpI)
ATPI	27985011	Cosmarium botrytis	CF0 subunit IV of ATP synthase(atpI)
ATPI	27430725	Geranium maderense	ATP synthase CF0 A subunit(atpI)
ATPI	18129410	Viviania marifolia	ATP synthase CF0 subunit IV(atpI)
ATPI	14469385	Ophioglossum californicum	ATP synthase subunit a(atpI)
ATPI	4126880	Oryza sativa Indica Group	ATPase IV subunit(atpI)
ATPI	29070661	Gracilaria chorda	ATP synthase CFO A chain subunit IV(atpI)
ATPI	11030349	Wolffiella lingulata	ATP synthase CF0 subunit IV(atpI)
ATPI	25016221	Ammophila breviligulata	ATP synthase CF0 subunit IV(atpI)
ATPI	26834064	Metanarthecium luteoviride	ATP synthase CF0 A subunit(atpI)
ATPI	9829630	Eucalyptus grandis	ATP synthase CF0 subunit IV(atpI)
ATPI	27213035	Echinochloa frumentacea	AtpI(atpI)
ATPI	22160167	Choricystis parasitica	CF0 subunit IV of ATP synthase(atpI)
ATPI	2715580	Spinacia oleracea	ATPase IV subunit(atpI)
ATPI	26892288	Angelica dahurica	AtpI(atpI)
ATPI	26890392	Goodyera schlechtendaliana	ATP synthase CF0 subunit IV(atpI)
ATPI	5536635	Cuscuta reflexa	ATP synthase CF0 A subunit(atpI)
ATPI	28481484	Ampelocalamus naibunensis	ATP synthase CF0 subunit IV(atpI)
ATPI	24573369	Trillium decumbens	ATP synthase CF0 A chain subunit IV(atpI)
ATPI	4099857	Solanum tuberosum	ATPase IV subunit(atpI)
ATPI	19019043	Juniperus scopulorum	ATP synthase CF0 subunit IV(atpI)
ATPI	25768310	Lathraea squamaria	ATP synthase CF0 A subunit(atpI)
ATPI	5333169	Medicago truncatula	ATP synthase CF0 A subunit(atpI)
ATPI	27440311	Urochloa brizantha	ATP synthase CF0 subunit IV(atpI)
ATPI	1187298	[Pseudomonas syringae] pv. tomato str. DC3000	F0F1 ATP synthase subunit I(atpI)
ATPI	26888491	Ionopsidium acaule	ATP synthase CF0 A subunit(atpI)
ATPI	27909208	Iochroma cyaneum	ATP synthase CF0 subunit IV(atpI)
ATPI	22283595	Morus mongolica	ATP synthase CF0 A chain(atpI)
ATPI	26895274	Sabia yunnanensis	ATP synthase CF0 A subunit(atpI)
ATPI	19221595	Pyropia perforata	ATP synthase CF0 subunit IV(atpI)
ATPI	26037833	Alloteropsis angusta	ATP synthase CF0 A subunit(atpI)
ATPI	23454653	Salix suchowensis	ATP synthase CF0 subunit IV(atpI)
ATPI	7055978	Vaucheria litorea	ATP synthase CF0 A subunit(atpI)
ATPI	17081163	Eucalyptus marginata	ATP synthase CF0 A subunit(atpI)
ATPI	10200428	Erodium carvifolium	ATP synthase CF0 subunit IV(atpI)
ATPI	9829550	Erodium texanum	ATP synthase CF0 subunit IV(atpI)
ATPI	25018449	Phleum alpinum	ATP synthase CF0 subunit IV(atpI)
ATPI	8594930	Ectocarpus siliculosus	ATP synthase CF0, subunit A(atpI)
ATPI	2853917	[Bacillus thuringiensis] serovar konkukian str. 97-27	ATP synthase subunit I(atpI)
ATPI	19591171	Fragaria iinumae	ATP synthase CF0 subunit IV(atpI)
ATPI	22160237	Paradoxia multiseta	CF0 subunit IV of ATP synthase(atpI)
ATPI	17098649	Camellia yunnanensis	ATP synthase CF0 A subunit IV(atpI)
ATPI	23631567	Iochroma stenanthum	ATP synthase CF0 subunit IV(atpI)
ATPI	7564836	Jatropha curcas	ATP synthase CF0 A subunit(atpI)
ATPI	26379399	Tilia mandshurica	ATP synthase CF0 subunit IV(atpI)
ATPI	13230294	Datura stramonium	ATP synthase CF0 A chain(atpI)
ATPI	20129622	Fargesia yunnanensis	ATP synthase CF0 subunit IV(atpI)
ATPI	5729385	Ceratophyllum demersum	ATP synthase CF0 A subunit(atpI)
ATPI	27249191	Lodoicea maldivica	ATP synthase CF0 subunit IV(atpI)
ATPI	25018188	Phaenosperma globosum	ATP synthase CF0 subunit IV(atpI)
ATPI	20833827	Roundia cardiophora	ATP synthase CF0 subunit IV(atpI)
ATPI	4308394	Stigeoclonium helveticum	ATP synthase CF0 A subunit(atpI)
ATPI	27247291	Epimedium pseudowushanense	ATP synthase CF0 subunit IV(atpI)
ATPI	17083339	Eucalyptus erythrocorys	ATP synthase CF0 A subunit(atpI)
ATPI	24249091	Neololeba atra	ATP synthase CF0 A subunit(atpI)
ATPI	22974934	Callitropsis nootkatensis	ATP synthase CF0 subunit IV(atpI)
ATPI	25020645	Lepidozamia peroffskyana	ATP synthase CF0 A chain(atpI)
ATPI	20159927	Fritillaria hupehensis	ATP synthase CF0 subunit IV(atpI)
ATPI	4929641	Populus trichocarpa	ATP synthase CF0 A subunit(atpI)
ATPI	3989193	Gossypium hirsutum	ATPase IV subunit(atpI)
ATPI	17961988	Helianthus grosseserratus	ATP synthase CF0 subunit IV(atpI)
ATPI	27214736	Aconitum chiisanense	ATP synthase CF0 A chain(atpI)
ATPI	24570963	Podococcus barteri	ATP synthase CF0 A subunit(atpI)
ATPI	24019956	Carludovica palmata	ATP synthase CF0 subunit IV(atpI)
ATPI	26128283	Brassica juncea	ATP synthase CF0 subunit IV(atpI)
ATPI	25077775	Teleaulax amphioxeia	ATP synthase CF0 A subunit(atpI)
ATPI	15823697	Cymbidium tracyanum	subunit IV(atpI)
ATPI	27438430	Iochroma umbellatum	ATP synthase CF0 subunit IV(atpI)
ATPI	4178223	Populus alba	ATPase IV subunit(atpI)
ATPI	24418083	Lathyrus tingitanus	ATP synthase CF0 subunit IV(atpI)
ATPI	26376893	Dendrobium chrysotoxum	ATP synthase CF0 A subunit(atpI)
ATPI	22164082	Corallorhiza bulbosa	ATP synthase CF0 subunit IV(atpI)
ATPI	26520200	Miscanthus sacchariflorus	ATP synthase CF0 A subunit(atpI)
ATPI	22549519	Artemisia montana	ATP synthase CF0 A chain(atpI)
ATPI	27109437	Ankyra judayi	ATP synthase CF0 A subunit(atpI)
ATPI	6335609	Heterosigma akashiwo	subunit IV(atpI)
ATPI	17964152	Porphyridium purpureum	ATP synthase CF0, subunit A(atpI)
ATPI	19739415	Asterionella formosa	ATP synthase CF0 subunit IV(atpI)
ATPI	17674255	Kalopanax septemlobus	ATP synthase CF0 subunit IV(atpI)
ATPI	2856315	[Bacillus thuringiensis] serovar konkukian str. 97-27	ATP synthase protein I(atpI)
ATPI	4962690	Crucihimalaya wallichii	ATP synthase CF0 A subunit(atpI)
ATPI	3562441	Emiliania huxleyi	ATPase IV subunit(atpI)
ATPI	27909370	Bruinsmia polysperma	ATP synthase CF0 A subunit IV(atpI)
ATPI	26218508	Isatis tinctoria	ATPase a subunit(atpI)
ATPI	14564213	Nothoceros aenigmaticus	(atpI)
ATPI	27212891	Stachys byzantina	(atpI)
ATPI	20006252	Salix interior	ATP synthase CF0 A chain subunit IV(atpI)
ATPI	9073238	Anomochloa marantoidea	ATP synthase CF0 A subunit(atpI)
ATPI	7150822	Escherichia coli IAI39	F0F1 ATP synthase subunit I(atpI)
ATPI	29072740	Thorea hispida	ATP synthase CFO A chain subunit IV(atpI)
ATPI	4549112	Sorghum bicolor	ATP synthase CF0 A subunit(atpI)
ATPI	19019180	Juniperus virginiana	ATP synthase CF0 subunit IV(atpI)
ATPI	26890264	Goodyera procera	ATP synthase CF0 subunit IV(atpI)
ATPI	24573237	Euglenaria anabaena	ATPase subunit IV(atpI)
ATPI	26892418	Angelica gigas	AtpI(atpI)
ATPI	24288080	Cynara humilis	ATP synthase CF0 subunit IV(atpI)
ATPI	24251257	Guadua weberbaueri	ATP synthase CF0 A subunit(atpI)
ATPI	24148098	Physalis peruviana	ATP synthase CF0 subunit IV(atpI)
ATPI	5536739	Cuscuta gronovii	ATP synthase CF0 A subunit(atpI)
ATPI	26888618	Arabidopsis arenosa	ATPase a subunit(atpI)
ATPI	20159850	Hanabusaya asiatica	ATP synthase CF0 A chain(atpI)
ATPI	27440180	Urochloa decumbens	ATP synthase CF0 subunit IV(atpI)
ATPI	20523980	Hakonechloa macra	ATP synthase CF0 subunit IV(atpI)
ATPI	13230138	Erycina pusilla	ATP synthase CF0 subunit IV(atpI)
ATPI	18129598	Hypseocharis bilobata	ATP synthase CF0 subunit IV(atpI)
ATPI	27218556	Chloris barbata	ATP synthase CF0 subunit IV(atpI)
ATPI	4715850	Yersinia enterocolitica subsp. enterocolitica 8081	F0F1 ATP synthase subunit I(atpI)
ATPI	25018580	Piptochaetium avenaceum	ATP synthase CF0 A subunit(atpI)
ATPI	4100083	Oltmannsiellopsis viridis	ATPase IV subunit(atpI)
ATPI	11539327	Gossypium tomentosum	ATPase IV subunit; ATP synthase CF0 A chain(atpI)
ATPI	2944058	Gracilaria tenuistipitata var. liui	ATPase IV subunit(atpI)
ATPI	26895143	Meliosma aff. cuneifolia Moore 333	ATP synthase CF0 A subunit(atpI)
ATPI	3131393	Oryza sativa Japonica Group	ATPase IV subunit(atpI)
ATPI	26037957	Alloteropsis cimicina	ATP synthase CF0 A subunit(atpI)
ATPI	29075147	Actinidia tetramera	ATP synthase CF0 subunit IV(atpI)
ATPI	10200553	Coccomyxa subellipsoidea C-169	ATP synthase CF0 A subunit(atpI)
ATPI	11123502	Panicum virgatum	ATP synthase CF0 subunit IV(atpI)
ATPI	17098509	Camellia pitardii	ATP synthase CF0 A subunit IV(atpI)
ATPI	4788216	Angiopteris evecta	ATP synthase CF0 A subunit(atpI)
ATPI	25020509	Dioon spinulosum	ATP synthase CF0 A chain(atpI)
ATPI	27109483	Panicum miliaceum	ATP synthase CF0 subunit IV(atpI)
ATPI	24249220	Olmeca reflexa	ATP synthase CF0 A subunit(atpI)
ATPI	26836162	Iris sanguinea	AtpI(atpI)
ATPI	25018318	Phalaris arundinacea	ATP synthase CF0 subunit IV(atpI)
ATPI	17081299	Eucalyptus curtisii	ATP synthase CF0 A subunit(atpI)
ATPI	27247158	Epimedium lishihchenii	ATP synthase CF0 subunit IV(atpI)
ATPI	27249325	Leucothrinax morrisii	ATP synthase CF0 subunit IV(atpI)
ATPI	26897312	Saussurea involucrata	ATP synthase CF0, subunit A(atpI)
ATPI	10965181	Phyllostachys nigra var. henonis	ATP synthase CF0 subunit IV(atpI)
ATPI	20129756	Gaoligongshania megalothyrsa	ATP synthase CF0 subunit IV(atpI)
ATPI	25016159	Oryza officinalis	ATP synthase CF0 A subunit(atpI)
ATPI	26379268	Tilia amurensis	ATP synthase CF0 subunit IV(atpI)
ATPI	27985067	Coleochaete scutata	CF0 subunit IV of ATP synthase(atpI)
ATPI	27107583	Monsonia emarginata	ATP synthase CF0 subunit IV(atpI)
ATPI	17083203	Eucalyptus guilfoylei	ATP synthase CF0 A subunit(atpI)
ATPI	15332203	Pleodorina starrii	CF0 subunit IV of ATP synthase(atpI)
ATPI	26374835	Capsella grandiflora	ATP synthase CF0 A subunit(atpI)
ATPI	25102810	Sporobolus maritimus	ATP synthase CF0 A subunit(atpI)
ATPI	26042321	Clematis terniflora	ATP synthase CF0 subunit IV(atpI)
ATPI	17962121	Helianthus divaricatus	ATP synthase CF0 subunit IV(atpI)
ATPI	22164205	Corallorhiza macrantha	ATP synthase CF0 subunit IV(atpI)
ATPI	22162246	Phalaenopsis hybrid cultivar	ATP synthase CF0 subunit IV(atpI)
ATPI	26939138	Wildemania schizophylla	ATP synthase CF0 subunit IV(atpI)
ATPI	12486612	Oryza rufipogon	ATP synthase CF0 subunit IV(atpI)
ATPI	24404278	Trillium cuneatum	ATP synthase CF0 A chain subunit IV(atpI)
ATPI	27210889	Stenogyne haliakalae	ATP synthase CF0 subunit IV(atpI)
ATPI	18127165	Gossypium stocksii	ATP synthase CF0 subunit IV(atpI)
ATPI	27981988	Ulva linza	ATP synthase subunit a(atpI)
